model,J,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,30,tail_ignored,x_only,0.004480818232607034,0.0,0.004480818232607034,29.612912003651907,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.82128178817456,-12.822767037597844,0.0014852494232862057,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,tail_ignored,y_only,0.0,0.003408230787800825,0.003408230787800825,29.817278886704845,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.858890500210748,-12.860448409850832,0.0015579096400859527,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,tail_ignored,omega_up_type,0.00396025395546882,0.000396025395546882,0.0039800059680513665,29.63651908732507,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.825616797669895,-12.827120797585861,0.0015039999159682793,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,tail_ignored,square,0.0019359010291645216,0.0019359010291645216,0.002737777490856499,29.728658529338244,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.842559661689005,-12.844110883098608,0.0015512214096045085,1.7763568394002505e-15,True,True,exploratory_double
norm_bound,30,dirichlet_parseval_tail,x_only,0.0,0.0,0.0,-89.57848314101717,-89.57848314101717,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3013.4636418670157,3589.7268897156523,-12.820992204969132,-12.822561881283685,-51.609613221267594,-51.61118289758215,False,True,exploratory_double
norm_bound,30,dirichlet_parseval_tail,y_only,0.0,0.0,0.0,-89.57848314101717,-89.57848314101717,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3013.4636418670157,3589.7268897156523,-12.820992204969132,-12.822561881283685,-51.609613221267594,-51.61118289758215,False,True,exploratory_double
norm_bound,30,dirichlet_parseval_tail,omega_up_type,0.0,0.0,0.0,-89.57848314101717,-89.57848314101717,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3013.4636418670157,3589.7268897156523,-12.820992204969132,-12.822561881283685,-51.609613221267594,-51.61118289758215,False,True,exploratory_double
norm_bound,30,dirichlet_parseval_tail,square,0.0,0.0,0.0,-89.57848314101717,-89.57848314101717,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3013.4636418670157,3589.7268897156523,-12.820992204969132,-12.822561881283685,-51.609613221267594,-51.61118289758215,False,True,exploratory_double
symmetry_first_order,30,tail_ignored,x_only,0.2,0.0,0.2,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.35789251319255,-13.189512840739116,2.400915190050359,2.569294862503792,True,True,exploratory_double
symmetry_first_order,30,tail_ignored,y_only,0.0,0.003408230787800825,0.003408230787800825,29.817278886704845,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.858890500210748,-12.860448409850832,0.0015579096400859527,1.7763568394002505e-15,True,True,exploratory_double
symmetry_first_order,30,tail_ignored,omega_up_type,0.033904434781652976,0.0033904434781652977,0.03407353525600174,29.851599225538827,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.875516556500731,-12.872210719279124,1.7763568394002505e-15,0.0033058372216085985,True,True,exploratory_double
symmetry_first_order,30,tail_ignored,square,0.003408089539495919,0.003408089539495919,0.004819766448537004,29.81755142312454,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-12.859059282179137,-12.86056806298808,0.0015087808089440102,1.7763568394002505e-15,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,x_only,0.2,0.0,0.2,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.35789251319255,-13.189512840739116,2.400915190050359,2.569294862503792,True,True,exploratory_double
signed_xxy_first_order,30,tail_ignored,y_only,0.0,0.09886373270055941,0.09886373270055941,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,1513.227076542765,1929.4845334807262,-13.959813648744342,-13.944573664577215,1.7763568394002505e-15,0.01523998416712935,True,True,exploratory_double
