J,M,D_J,N_M,G_norm_sq,dirichlet_residual,combined_residual,D_fraction,N_fraction,combined_fraction,rigorous_flag
30,30,10.197238938228862,54.20294602272769,70.18385351885578,59.98661458062692,5.783668557899233,0.1452932323741563,0.7722993723644054,0.9175926047385617,exploratory_double
30,50,10.197238938228862,55.4220962676214,70.18385351885578,59.98661458062692,4.564518313005522,0.1452932323741563,0.7896701803746292,0.9349634127487855,exploratory_double
30,100,10.197238938228862,56.75841331590853,70.18385351885578,59.98661458062692,3.2282012647183933,0.1452932323741563,0.8087104151478325,0.9540036475219889,exploratory_double
30,200,10.197238938228862,57.80907363743217,70.18385351885578,59.98661458062692,2.1775409431947566,0.1452932323741563,0.8236805296235412,0.9689737619976975,exploratory_double
50,30,10.230502951607773,54.20294602272769,70.18385351885578,59.95335056724801,5.750404544520322,0.1457671877315659,0.7722993723644054,0.9180665600959713,exploratory_double
50,50,10.230502951607773,55.4220962676214,70.18385351885578,59.95335056724801,4.53125429962661,0.1457671877315659,0.7896701803746292,0.935437368106195,exploratory_double
50,100,10.230502951607773,56.75841331590853,70.18385351885578,59.95335056724801,3.194937251339482,0.1457671877315659,0.8087104151478325,0.9544776028793984,exploratory_double
50,200,10.230502951607773,57.80907363743217,70.18385351885578,59.95335056724801,2.1442769298158453,0.1457671877315659,0.8236805296235412,0.969447717355107,exploratory_double
100,30,10.254332340881692,54.20294602272769,70.18385351885578,59.929521177974095,5.726575155246408,0.14610671581500917,0.7722993723644054,0.9184060881794145,exploratory_double
100,50,10.254332340881692,55.4220962676214,70.18385351885578,59.929521177974095,4.507424910352697,0.14610671581500917,0.7896701803746292,0.9357768961896382,exploratory_double
100,100,10.254332340881692,56.75841331590853,70.18385351885578,59.929521177974095,3.1711078620655684,0.14610671581500917,0.8087104151478325,0.9548171309628416,exploratory_double
100,200,10.254332340881692,57.80907363743217,70.18385351885578,59.929521177974095,2.1204475405419174,0.14610671581500917,0.8236805296235412,0.9697872454385504,exploratory_double
200,30,10.264397112441358,54.20294602272769,70.18385351885578,59.919456406414426,5.716510383686739,0.14625012161356596,0.7722993723644054,0.9185494939779714,exploratory_double
200,50,10.264397112441358,55.4220962676214,70.18385351885578,59.919456406414426,4.497360138793027,0.14625012161356596,0.7896701803746292,0.9359203019881951,exploratory_double
200,100,10.264397112441358,56.75841331590853,70.18385351885578,59.919456406414426,3.161043090505899,0.14625012161356596,0.8087104151478325,0.9549605367613985,exploratory_double
200,200,10.264397112441358,57.80907363743217,70.18385351885578,59.919456406414426,2.110382768982248,0.14625012161356596,0.8236805296235412,0.9699306512371073,exploratory_double
